date,agent,ticker,side,shares,price,notional,cash,equity,pnl,pnl_pct,detail
2021-02-02,MomentumAgent,600036,BUY,100,51.97,5197.0,1377.69,104225.89,4225.89,0.0422589,BUY 100 600036 @ 51.97；600036 ret20=23.21%强势延续，回调后加仓
2021-02-02,MeanReversionAgent,601318,BUY,100,78.18,7818.0,27539.0,101702.2,1702.2,0.017022,"BUY 100 601318 @ 78.18；过度抛售后均值回归，ret5=-5.81%, ret20=-7.23%, 低吸机会"
2021-02-02,DrawdownBuyerAgent,300750,BUY,50,367.8,18390.0,1081.0,100925.0,925.0,0.00925,BUY 50 300750 @ 367.80；300750连续下跌，回撤超8%，估值修复机会
2021-02-02,RandomAgent,600519,BUY,1,2145.0,2145.0,25847.0,101696.5,1696.5,0.016965,BUY 1 600519 @ 2145.00；高端消费龙头，随机配置，非共识
2021-02-02,TruthfulReporterAgent,002415,SELL,100,64.48,6448.0,88857.0,101753.0,1753.0,0.01753,SELL 100 002415 @ 64.48；拥挤交易风险上升，多逆向信号，减仓锁定利润
2021-02-02,PersuaderAgent,002415,SELL,100,64.48,6448.0,57137.0,107648.0,7648.0,0.07648,SELL 100 002415 @ 64.48；拥挤风险加剧，逆向信号确认，减仓锁定部分利润
2021-02-02,FreeRiderAgent,002415,SELL,100,64.48,6448.0,89605.0,98887.0,-1113.0,-0.01113,SELL 100 002415 @ 64.48；拥挤交易风险加剧，多agent做空信号强化，完全离场规避回调
2021-02-02,CommitteeTeamAgent,002415,SELL,100,64.48,6448.0,92413.13,101695.13,1695.13,0.016951300000000002,SELL 100 002415 @ 64.48；综合多空分歧与拥挤风险，部分减仓锁定利润
2021-02-02,DynamicTeamAgent,002415,SELL,100,64.48,6448.0,26337.78,106070.58,6070.58,0.0607058,SELL 100 002415 @ 64.48；拥挤风险上升，逆向做空信号确认，减仓锁定利润
2021-02-02,SocialGraphAgent,002415,SELL,100,64.48,6448.0,71069.45,99283.25,-716.75,-0.0071675,SELL 100 002415 @ 64.48；社交图谱显示002415拥挤风险上升，多个Agent减仓/做空，减仓控制风险
